UniProt ID,Protein length
P19325,72
P08105,79
Q6IUF9,94
B2MW50,95
Q6RSS3,95
Q88470,95
A9JR22,95
Q27YE6,99
B0BLK7,99
Q6UY62,100
Q27YE2,101
P9WN84,130
P9WN85,130
P0AC51,171
Q9SLV1,225
Q9CQU5,252
Q8VIL3,266
Q76N59,268
O95229,277
Q2TBH8,286
Q9FX68,302
Q9SGD1,337
Q8W031,337
Q8GSP8,371
Q9SVY1,383
P0DW87,399
P0DW89,399
Q8W030,412
P32527,433
Q9Y7I8,442
Q04584,542
Q62523,564
Q15942,572
Q5RA78,591
Q6IRM9,597
Q0IJ01,597
Q9U3F4,603
A2BFL2,627
A5H447,663
Q0VA45,674
P89681,701
Q621J7,709
A0JMZ3,732
Q9C0D3,744
Q3UFS0,744
Q5TYQ1,746
Q6WRX3,759
P21541,799
P0DOK0,821
Q9N1E6,847
Q8IYH5,903
Q6KAQ7,910
Q9H7M6,989
Q6FWW3,990
Q755T2,991
B2KFW1,1030
P17040,1043
Q6NZP1,1069
A6ZQY2,1076
P40021,1076
